         253153657 function calls (246262193 primitive calls) in 169.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      316    0.018    0.000    0.018    0.000 {built-in method builtins.compile}
     4990    0.017    0.000    0.028    0.000 Calc.py:37(wiggle)
      246    0.013    0.000    0.013    0.000 {built-in method io.open_code}
  448/178    0.011    0.000    0.030    0.000 sre_parse.py:493(_parse)
     4991    0.010    0.000    2.247    0.000 Diagram.py:137(getPerimeter)
     4991    0.010    0.000    0.023    0.000 BinTree.py:72(addRoot)
     1685    0.009    0.000    0.564    0.000 Diagram.py:141(getPlotables)
    21722    0.007    0.000    0.007    0.000 {built-in method builtins.min}
    32969    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
      643    0.006    0.000    0.017    0.000 inspect.py:2112(_signature_from_function)
      547    0.006    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
  907/173    0.006    0.000    0.013    0.000 sre_compile.py:71(_compile)
    13059    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
      246    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
      499    0.005    0.000    0.026    0.000 Voronoi.py:52(loadingBar)
    29384    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
    18756    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
       98    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
    10080    0.004    0.000    0.004    0.000 {method 'random' of '_random.Random' objects}
     4990    0.004    0.000    0.004    0.000 {built-in method math.cos}
     4991    0.004    0.000    0.004    0.000 BinTree.py:48(__init__)
     5202    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
  708/652    0.004    0.000    0.024    0.000 inspect.py:2206(_signature_from_callable)
    13352    0.003    0.000    0.003    0.000 DCEL.py:69(edges)
     4910    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     1910    0.003    0.000    0.006    0.000 inspect.py:2477(__init__)
6835/6831    0.003    0.000    0.005    0.000 {method 'join' of 'str' objects}
    593/1    0.003    0.000  169.158  169.158 {built-in method builtins.exec}
     4991    0.003    0.000    0.007    0.000 Heap.py:30(__init__)
     4991    0.003    0.000    0.003    0.000 Heap.py:33(clear)
     2095    0.003    0.000    0.059    0.000 re.py:289(_compile)
       27    0.003    0.000    0.018    0.001 __init__.py:904(_rc_params_in_file)
 1088/356    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
     6063    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
      246    0.003    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      753    0.003    0.000    0.005    0.000 inspect.py:2760(__init__)
      246    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     4991    0.003    0.000    0.003    0.000 DCEL.py:29(__init__)
      916    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    10765    0.003    0.000    0.005    0.000 mathtext.py:2823(<genexpr>)
     2833    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1545    0.003    0.000    0.028    0.000 __init__.py:784(__setitem__)
