doing trials...
[1000D[####################                    ]         210185116 function calls (210176890 primitive calls) in 170.397 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    36707    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    22087    0.007    0.000    0.007    0.000 {built-in method builtins.min}
 1024/183    0.006    0.000    0.014    0.000 sre_compile.py:71(_compile)
    489/8    0.005    0.000    0.757    0.095 <frozen importlib._bootstrap>:986(_find_and_load)
     3923    0.005    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      369    0.005    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:969(get_data)
    19903    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      369    0.005    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      475    0.005    0.000    0.073    0.000 <frozen importlib._bootstrap>:890(_find_spec)
    29514    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
     1201    0.005    0.000    0.022    0.000 functools.py:34(update_wrapper)
    725/1    0.005    0.000  170.398  170.398 {built-in method builtins.exec}
       40    0.004    0.000    1.305    0.033 __init__.py:1(<module>)
      103    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
8367/8363    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
  738/682    0.004    0.000    0.027    0.000 inspect.py:2206(_signature_from_callable)
     5228    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     6339    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
     2103    0.004    0.000    0.007    0.000 inspect.py:2477(__init__)
        4    0.004    0.001    0.004    0.001 {built-in method _ctypes.dlopen}
       46    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
      738    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     3923    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       27    0.003    0.000    0.026    0.001 __init__.py:904(_rc_params_in_file)
      886    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2105    0.003    0.000    0.061    0.000 re.py:289(_compile)
      783    0.003    0.000    0.005    0.000 inspect.py:2760(__init__)
        4    0.003    0.001    0.005    0.001 codata.py:1498(parse_constants_2002to2014)
     6934    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
 1238/399    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
    10698    0.003    0.000    0.005    0.000 mathtext.py:2823(<genexpr>)
   453/12    0.003    0.000    0.753    0.063 <frozen importlib._bootstrap>:650(_load_unlocked)
      918    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     2403    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      371    0.003    0.000    0.007    0.000 colors.py:193(_to_rgba_no_colorcycle)
      452    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       12    0.003    0.000    0.035    0.003 artist.py:1314(_get_setters_and_targets)
      259    0.003    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
      886    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
     5732    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       30    0.003    0.000    0.003    0.000 {built-in method io.open}
  471/470    0.003    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
    485/8    0.003    0.000    0.756    0.095 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     2326    0.003    0.000    0.050    0.000 inspect.py:606(getdoc)
      886    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
     2598    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     5115    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
       33    0.002    0.000    0.006    0.000 __init__.py:313(namedtuple)
     1545    0.002    0.000    0.027    0.000 __init__.py:784(__setitem__)
     1871    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x10ae599a0}
     2491    0.002    0.000    0.006    0.000 enum.py:283(__call__)
    11409    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     6042    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
      412    0.002    0.000    0.037    0.000 artist.py:1278(get_valid_values)
     4300    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     6875    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
       31    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      984    0.002    0.000    0.008    0.000 {built-in method builtins.any}
   369/11    0.002    0.000    0.753    0.068 <frozen importlib._bootstrap_external>:777(exec_module)
      447    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
      476    0.002    0.000    0.002    0.000 {built-in method numpy.array}
  455/185    0.002    0.000    0.033    0.000 sre_parse.py:435(_parse_sub)
        2    0.002    0.001    0.004    0.002 decoder.py:343(raw_decode)
      719    0.002    0.000    0.010    0.000 colors.py:157(to_rgba)
     3823    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     1689    0.002    0.000    0.033    0.000 artist.py:1350(is_alias)
       32    0.001    0.000    0.009    0.000 colors.py:782(from_list)
     2000    0.001    0.000    0.004    0.000 calc.py:88(rand)
        1    0.001    0.001    0.002    0.002 codata.py:1510(parse_constants_2018toXXXX)
       12    0.001    0.000    0.026    0.002 artist.py:1250(get_aliases)
  452/450    0.001    0.000    0.113    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
  457/155    0.001    0.000    0.473    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     6615    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1812    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     72/4    0.001    0.000    0.004    0.001 pyparsing.py:1835(_parseCache)
      369    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      369    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1664    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.001    0.001    0.009    0.009 codata.py:7(<module>)
   260/11    0.001    0.000    0.006    0.001 pyparsing.py:1647(_parseNoCache)
     2000    0.001    0.000    0.002    0.000 calc.py:91(roundBetter)
      183    0.001    0.000    0.055    0.000 sre_compile.py:759(compile)
      734    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
     2722    0.001    0.000    0.001    0.000 inspect.py:2809(<genexpr>)
      410    0.001    0.000    0.004    0.000 copy.py:66(copy)
        2    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
       15    0.001    0.000    0.006    0.000 {built-in method builtins.eval}
      453    0.001    0.000    0.008    0.000 rcsetup.py:327(validate_color)
      447    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        1    0.001    0.001    0.001    0.001 __init__.py:326(<listcomp>)
      316    0.001    0.000    0.030    0.000 overrides.py:166(decorator)
     1457    0.001    0.000    0.005    0.000 re.py:188(match)
     1107    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      447    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      183    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
      157    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
      140    0.001    0.000    0.018    0.000 deprecation.py:172(deprecate)
     2483    0.001    0.000    0.001    0.000 enum.py:562(__new__)
       72    0.001    0.000    0.011    0.000 __init__.py:1488(_preprocess_data)
      998    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      634    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       31    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
       11    0.001    0.000    0.072    0.007 artist.py:1380(pprint_setters)
       12    0.001    0.000    0.002    0.000 artist.py:1261(<listcomp>)
     2865    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
      492    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1170    0.001    0.000    0.003    0.000 colors.py:123(_is_nth_color)
   397/40    0.001    0.000    0.536    0.013 {built-in method builtins.__import__}
      863    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
     2181    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      492    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      466    0.001    0.000    0.005    0.000 deprecation.py:9(wrap)
      816    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:376(cached)
      183    0.001    0.000    0.034    0.000 sre_parse.py:937(parse)
